T_REC,HARPNUM,MEANPOT,SHRGT45,TOTPOT,USFLUX,MEANJZH,ABSNJZH,SAVNCPP,MEANALP,MEANSHR,TOTUSJZ,TOTUSJH,MEANGAM,MEANGBZ,MEANJZD,AREA_ACR,R_VALUE,MEANGBT,MEANGBH,NOAA_ARS
2011.10.19_22:36:00_TAI,940,6390.531,22.107,8.84582e+23,6.876323e+22,-0.00150665,157.035,7487118000000,-0.00376136,31.992,77767770000000,3561.655,37.333,94.306,0.0728506,2380.251465,4.406,90.998,41.094,"11314,11319"
2011.10.19_22:48:00_TAI,940,6297.109,21.767,8.865025e+23,6.926175e+22,-0.00149473,158.441,8020252000000,-0.00379299,31.822,78570150000000,3567.074,37.281,93.731,0.07490621,2371.713623,4.392,90.392,40.86,"11314,11319"
2011.10.19_23:00:00_TAI,940,6198.333,22.108,8.88402e+23,6.978108e+22,-0.00126135,136.123,6271731000000,-0.00325236,32.042,79210500000000,3558.685,37.409,93.196,0.11138926,2373.658691,4.361,89.846,40.374,"11314,11319"
2011.10.19_23:12:00_TAI,940,6134.729,21.476,8.803451e+23,7.001527e+22,-0.00125185,135.266,5101456000000,-0.00322896,31.59,78096640000000,3532.724,36.953,92.928,0.05109101,2354.138184,4.34,89.724,39.982,"11314,11319"
2011.10.19_23:24:00_TAI,940,6045.739,21.356,8.785181e+23,7.060939e+22,-0.00119643,130.91,5239363000000,-0.00311324,31.491,79440460000000,3576.21,36.996,92.536,0.06856829,2352.725098,4.369,89.339,39.987,"11314,11319"
2011.10.19_23:36:00_TAI,940,6036.723,21.334,8.764065e+23,7.060505e+22,-0.00134108,146.603,6546765000000,-0.00348663,31.435,78401430000000,3543.788,36.915,92.31,0.06755337,2346.097412,4.355,89.127,39.757,"11314,11319"
2011.10.19_23:48:00_TAI,940,6000.929,21.152,8.76669e+23,7.086496e+22,-0.00120791,132.871,5710226000000,-0.00315718,31.384,78543050000000,3555.253,36.853,91.748,0.08012743,2336.273926,4.387,88.493,39.573,"11314,11319"
2011.10.19_22:12:00_TAI,976,7050.459,23.577,7.527361e+23,5.866803e+22,-0.00430719,346.259,16765740000000,-0.0095691,33.264,66341730000000,3755.736,39.234,92.561,-0.18632716,1946.270142,4.753,82.02,45.782,"11324,11325"
2011.10.19_22:24:00_TAI,976,7051.345,23.481,7.535143e+23,5.866734e+22,-0.00429971,345.972,14158150000000,-0.00958917,33.155,66471250000000,3744.713,39.264,93.057,-0.19472316,1956.845947,4.75,81.997,45.595,"11324,11325"
2011.10.19_22:36:00_TAI,976,7067.317,23.516,7.571828e+23,5.878577e+22,-0.00417528,336.824,14390660000000,-0.0093208,33.218,66360080000000,3736.738,39.031,92.602,-0.14687687,1952.414795,4.757,82.017,45.452,"11324,11325"
2011.10.19_22:48:00_TAI,976,7015.757,23.921,7.625876e+23,5.887608e+22,-0.00383567,313.931,10563910000000,-0.00870301,33.426,66608840000000,3708.382,39.53,92.205,-0.1676887,1949.654053,4.742,81.25,45.07,"11324,11325"
2011.10.19_23:00:00_TAI,976,6845.518,23.505,7.56111e+23,5.953654e+22,-0.00471789,392.368,15740900000000,-0.01079845,33.056,67382950000000,3759.295,39.479,91.567,-0.13899249,1949.570923,4.735,80.736,44.776,"11324,11325"
2011.10.19_23:12:00_TAI,976,6836.581,23.671,7.592552e+23,5.96916e+22,-0.00520094,434.928,17985920000000,-0.01193993,33.27,67945820000000,3783.919,39.307,93.668,-0.10369679,1959.20459,4.722,81.816,44.765,"11324,11325"
2011.10.19_23:24:00_TAI,976,6724.602,22.558,7.469617e+23,6.026215e+22,-0.00385119,322.114,11957380000000,-0.00877987,32.446,66163910000000,3733.279,38.95,90.218,-0.11630274,1968.695435,4.749,80.307,44.438,"11324,11325"
2011.10.19_23:36:00_TAI,976,6755.486,23.31,7.578031e+23,6.033026e+22,-0.00392594,331.604,11837150000000,-0.00904298,32.94,67430770000000,3758.089,39.128,91.586,-0.06651773,1981.304199,4.745,81.043,44.589,"11324,11325"
2011.10.19_23:48:00_TAI,976,6848.905,23.806,7.657446e+23,6.013826e+22,-0.00577938,486.543,21158740000000,-0.01330588,33.123,67372220000000,3745.543,39.393,92.957,-0.08809751,1986.033691,4.745,81.241,44.776,"11324,11325"
2011.12.13_13:00:00_TAI,1183,1868.821,3.231,1.549162e+23,4.251131e+22,0.00195666,122.123,3706474000000,0.00616847,20.817,39397190000000,1961.74,25.279,74.527,-0.05243226,848.941101,3.857,74.068,32.93,"11376,11377"
2011.12.13_13:12:00_TAI,1183,1847.628,3.242,1.547568e+23,4.279982e+22,0.00190824,120.353,3100948000000,0.00605386,20.765,39677380000000,1963.238,25.322,74.257,-0.05480742,847.821472,3.825,73.885,33.039,"11376,11377"
2011.12.13_13:24:00_TAI,1183,1860.761,3.246,1.5516e+23,4.271723e+22,0.00168033,105.504,2624906000000,0.00530742,20.863,38953250000000,1922.543,25.271,74.549,-0.05461892,841.931946,3.785,74.199,32.774,"11376,11377"
