T_REC,HARPNUM,MEANPOT,SHRGT45,TOTPOT,USFLUX,MEANJZH,ABSNJZH,SAVNCPP,MEANALP,MEANSHR,TOTUSJZ,TOTUSJH,MEANGAM,MEANGBZ,MEANJZD,AREA_ACR,R_VALUE,MEANGBT,MEANGBH,NOAA_ARS,FlareClass
2011.09.22_15:36:00_TAI,892,15780.69,37.718,1.213458e+24,4.715376e+22,-0.00607546,351.775,19150450000000,-0.00958639,41.376,48377050000000,3574.13,45.776,91.145,0.028771,1819.475708,4.492,67.388,39.753,11302,M
2011.09.22_15:36:00_TAI,892,15780.69,37.718,1.213458e+24,4.715376e+22,-0.00607546,351.775,19150450000000,-0.00958639,41.376,48377050000000,3574.13,45.776,91.145,0.028771,1819.475708,4.492,67.388,39.753,11302,M
2011.09.22_15:36:00_TAI,892,15780.69,37.718,1.213458e+24,4.715376e+22,-0.00607546,351.775,19150450000000,-0.00958639,41.376,48377050000000,3574.13,45.776,91.145,0.028771,1819.475708,4.492,67.388,39.753,11302,M
2011.09.22_15:48:00_TAI,892,16038.75,38.907,1.234196e+24,4.725952e+22,-0.00571179,330.952,15526380000000,-0.00893699,42.058,49482400000000,3543.614,46.225,87.724,-0.21412453,1840.786133,4.51,65.33,40.03,11302,M
2011.09.22_15:48:00_TAI,892,16038.75,38.907,1.234196e+24,4.725952e+22,-0.00571179,330.952,15526380000000,-0.00893699,42.058,49482400000000,3543.614,46.225,87.724,-0.21412453,1840.786133,4.51,65.33,40.03,11302,M
2011.09.22_15:48:00_TAI,892,16038.75,38.907,1.234196e+24,4.725952e+22,-0.00571179,330.952,15526380000000,-0.00893699,42.058,49482400000000,3543.614,46.225,87.724,-0.21412453,1840.786133,4.51,65.33,40.03,11302,X
2011.09.22_15:48:00_TAI,892,16038.75,38.907,1.234196e+24,4.725952e+22,-0.00571179,330.952,15526380000000,-0.00893699,42.058,49482400000000,3543.614,46.225,87.724,-0.21412453,1840.786133,4.51,65.33,40.03,11302,M
2011.09.22_15:48:00_TAI,892,16038.75,38.907,1.234196e+24,4.725952e+22,-0.00571179,330.952,15526380000000,-0.00893699,42.058,49482400000000,3543.614,46.225,87.724,-0.21412453,1840.786133,4.51,65.33,40.03,11302,X
2011.09.22_15:48:00_TAI,892,16038.75,38.907,1.234196e+24,4.725952e+22,-0.00571179,330.952,15526380000000,-0.00893699,42.058,49482400000000,3543.614,46.225,87.724,-0.21412453,1840.786133,4.51,65.33,40.03,11302,M
2011.09.22_15:48:00_TAI,892,16038.75,38.907,1.234196e+24,4.725952e+22,-0.00571179,330.952,15526380000000,-0.00893699,42.058,49482400000000,3543.614,46.225,87.724,-0.21412453,1840.786133,4.51,65.33,40.03,11302,M
